<pad> day math tutor head life <eos>
<pad> feeling fever flu doctor bed <eos>
<pad> day house found told back <eos>
<pad> day wanted decided thought home <eos>
<pad> lisa day decided made home <eos>
<pad> car money day leave home <eos>
<pad> milk fridge poured spilled <eos> cereal
<pad> tom day decided home back <eos>
<pad> cat pet day cats home <eos>
<pad> car day started lot home <eos>
<pad> fishing boat fish caught catching <eos>
<pad> day wanted decided thought home <eos>
<pad> wedding ceremony married aisle end <eos>
<pad> phone phones dropped silent screen <eos>
<pad> day wanted decided thought home <eos>
<pad> work weather rained rain home <eos>
<pad> day wanted decided home back <eos>
<pad> wedding ceremony aisle married time <eos>
<pad> day wanted decided home back <eos>
<pad> wanted decided day game ended <eos>
<pad> recipe ingredients made substitute turned <eos>
<pad> friends nervous jump hit day <eos>
<pad> restaurant food decided eating home <eos>
<pad> joe ball day air home <eos>
<pad> truck money buy found home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> john day line home wait <eos>
<pad> wanted house work thought family <eos>
<pad> day wanted decided home back <eos>
<pad> tim day decided mom happy <eos>
<pad> snack grab eat night home <eos>
<pad> job started day finally back <eos>
<pad> school nervous friends year happy <eos>
<pad> money ticket store cop pay <eos>
<pad> car mechanic day home back <eos>
<pad> day wanted decided home back <eos>
<pad> tom day decided eventually home <eos>
<pad> detention class day made school <eos>
<pad> gina day started back home <eos>
<pad> wanted photo photos lot left <eos>
<pad> day wanted decided home back <eos>
<pad> bob bear ran back home <eos>
<pad> day team tryouts won goal <eos>
<pad> nail day nails returned hit <eos>
<pad> neighbors day friends time back <eos>
<pad> wanted day decided home back <eos>
<pad> diner food dinner delicious home <eos>
<pad> day wanted decided home back <eos>
<pad> game baseball ball day team <eos>
<pad> church sunday day decided time <eos>
<pad> necklace wore day decided home <eos>
<pad> paint painting painted decided loved <eos>
<pad> dinner decided day hour left <eos>
<pad> day decided floor put home <eos>
<pad> wife day work back time <eos>
<pad> safari day lot mom remember <eos>
<pad> guitar lessons learn practice signed <eos>
<pad> dog day shelter home run <eos>
<pad> day wanted decided home back <eos>
<pad> friends day climb decided glad <eos>
<pad> job applied interview work fired <eos>
<pad> money decided bills saved paid <eos>
<pad> gina decided started ended back <eos>
<pad> dinner day asked finally home <eos>
<pad> car road tire spare <eos> someone
<pad> boyfriend day found love married <eos>
<pad> car house day window left <eos>
<pad> glasses wore put wear happy <eos>
<pad> paint day painted piece art <eos>
<pad> dentist office day lot home <eos>
<pad> jacket money find put back <eos>
<pad> movies wanted movie decided time <eos>
<pad> birthday special cake baked made <eos>
<pad> car day power home back <eos>
<pad> restaurant waitress table food left <eos>
<pad> car day work back home <eos>
<pad> wife anniversary kids married man <eos>
<pad> movie wanted decided night tom <eos>
<pad> day wanted decided thought home <eos>
<pad> taxi house car scared told <eos>
<pad> bowling friends day won tournament <eos>
<pad> car tire spare back <eos> someone
<pad> movie movies film theater scary <eos>
<pad> stew decided added delicious loved <eos>
<pad> day wanted decided home back <eos>
<pad> wanted family climb fun top <eos>
<pad> wanted day decided found home <eos>
<pad> day decided asked lot home <eos>
<pad> phone phones dropped silent screen <eos>
<pad> car drive day lot home <eos>
<pad> work day started home i <eos>
<pad> today wedding day aisle married <eos>
<pad> wanted day decided put performance <eos>
<pad> day wanted decided home back <eos>
<pad> pregnant born baby brother glad <eos>
<pad> play friends game games won <eos>
<pad> day wanted decided thought home <eos>
<pad> dentist visit tooth cavities teeth <eos>
<pad> elevator stuck pushed finally time <eos>
<pad> wanted day decided home back <eos>
<pad> york wanted decided finally trip <eos>
<pad> shoes day decided found home <eos>
<pad> swim pool water swam swimming <eos>
<pad> car house set home <eos> damage
<pad> tom needed day work home <eos>
<pad> bug doctor day felt night <eos>
<pad> wanted day doctor team lost <eos>
<pad> sandwich jelly cheese ate eat <eos>
<pad> tom needed day back found <eos>
<pad> shave wanted beard weeks day <eos>
<pad> wanted day asked famous videos <eos>
<pad> work day ran sleep time <eos>
<pad> car drive dirt drove <eos> someone
<pad> car day work finally home <eos>
<pad> cheese sandwiches plate delicious ate <eos>
<pad> day money man stop home <eos>
<pad> sean day suddenly decided home <eos>
<pad> friends day fireworks lit home <eos>
<pad> joe day win won competition <eos>
<pad> night movie dinner time home <eos>
<pad> zoo day monkeys time home <eos>
<pad> day wanted decided home back <eos>
<pad> car suddenly scared home <eos> to
<pad> day wanted decided home back <eos>
<pad> race faster day won ankle <eos>
<pad> shower cold scrubbed wash tom <eos>
<pad> gina day work decided left <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided won happy <eos>
<pad> day wanted decided thought home <eos>
<pad> tom forgot work fix happened <eos>
<pad> day wanted decided thought home <eos>
<pad> berries day thought found happy <eos>
<pad> swim pool day swimming water <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> day friends decided lot home <eos>
<pad> wanted day decided home back <eos>
<pad> tom money started home <eos> to
<pad> friends day fireworks lit home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> school homework day friends year <eos>
<pad> wanted day started found home <eos>
<pad> walk noticed put minutes back <eos>
<pad> day wanted decided thought home <eos>
<pad> tom day doctor home <eos> i
<pad> john prize won win proud <eos>
<pad> dinner cheese plate forgot delicious <eos>
<pad> late rushed arrived door home <eos>
<pad> car started day wrong back <eos>
<pad> john decided food cooking home <eos>
<pad> wanted decided day lot home <eos>
<pad> mice house car window felt <eos>
<pad> wanted backpack day thought back <eos>
<pad> john weather rained rain home <eos>
<pad> friends fight fought friend day <eos>
<pad> job boss fired office end <eos>
<pad> train stop ride seat missed <eos>
<pad> mike wanted day work job <eos>
<pad> farm day decided boy proud <eos>
<pad> bake ingredients baked mixed decided <eos>
<pad> day sky night star home <eos>
<pad> gina wanted back doctor home <eos>
<pad> zoo wanted day back home <eos>
<pad> day wanted decided thought home <eos>
<pad> christmas family gifts presents found <eos>
<pad> max day decided back home <eos>
<pad> day wanted decided home back <eos>
<pad> tom wanted decided made work <eos>
<pad> day wanted decided home back <eos>
<pad> jim day water time <eos> he
<pad> day wanted decided home back <eos>
<pad> tom day decided returned <eos> someone
<pad> horses horse scared ran home <eos>
<pad> restaurant food decided put back <eos>
<pad> day wanted decided home back <eos>
<pad> park day made lot home <eos>
<pad> day lots lot back home <eos>
<pad> wanted day decided home happy <eos>
<pad> hot day put plate burned <eos>
<pad> card money cards pay back <eos>
<pad> day wanted decided home back <eos>
<pad> beach weather water sand home <eos>
<pad> day wanted decided home back <eos>
<pad> gina day decided lot left <eos>
<pad> build wanted day decided home <eos>
<pad> mall shop store shopping home <eos>
<pad> nervous doctor started ended home <eos>
<pad> wanted day home finally decided <eos>
<pad> fishing caught fish home back <eos>
<pad> cheese sandwiches plate delicious tasted <eos>
<pad> smoked day found cigarettes home <eos>
<pad> olympics day decided back wait <eos>
<pad> girl love day fell married <eos>
<pad> ride rode stop bike family <eos>
<pad> job store decided work home <eos>
<pad> work doctor decided thought <eos> i
<pad> car house day put back <eos>
<pad> day house ran home man <eos>
<pad> wanted suddenly day shore back <eos>
<pad> mail day delivered home pizza <eos>
<pad> goat day house home family <eos>
<pad> job day morning home <eos> lane
<pad> dinner house day plate returned <eos>
<pad> farm day lot home farmer <eos>
<pad> friends throw party food home <eos>
<pad> car day call back night <eos>
<pad> day wanted decided home back <eos>
<pad> friend day treasure found love <eos>
<pad> day wanted decided thought home <eos>
<pad> beach vacation day hotel <eos> tv
<pad> wanted day decided finally home <eos>
<pad> reading read book found bookstore <eos>
<pad> dinner pickles eating ate burger <eos>
<pad> gina day decided found home <eos>
<pad> trash garbage day put night <eos>
<pad> braces started decided eventually <eos> smile
<pad> joe day lot piece home <eos>
<pad> earrings decided day found home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided thought home <eos>
<pad> day wanted decided thought home <eos>
<pad> plant plants day decided home <eos>
<pad> day wanted decided home back <eos>
<pad> dog day suddenly shelter home <eos>
<pad> dishes wash dishwasher plate washing <eos>
<pad> wanted day decided home back <eos>
<pad> tom day decided work home <eos>
<pad> samantha day house found home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted decided day lot back <eos>
<pad> mouse day mice broken happy <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day set back home <eos>
<pad> movie wanted decided photo left <eos>
<pad> day wanted decided thought home <eos>
<pad> window couch day call home <eos>
<pad> work started day decided home <eos>
<pad> house day decided found fix <eos>
<pad> job worked work day boss <eos>
<pad> day house man stop home <eos>
<pad> cold hot sunny home rest <eos>
<pad> wanted day decided found home <eos>
<pad> wanted boat decided day home <eos>
<pad> tom wanted day buy back <eos>
<pad> tom day started back home <eos>
<pad> jenny wanted excited trip time <eos>
<pad> walk leash walked started home <eos>
<pad> job applied jobs sales delight <eos>
<pad> running run ran started marathon <eos>
<pad> park day put home blanket <eos>
<pad> clock morning woke alarm wake <eos>
<pad> grass wanted decided minutes back <eos>
<pad> wanted day decided home back <eos>
<pad> plate replace dropped forgot floor <eos>
<pad> game win day won proud <eos>
<pad> trip day lot finally home <eos>
<pad> sun burned day pain home <eos>
<pad> virus day decided put home <eos>
<pad> dance class nervous dress school <eos>
<pad> wanted day decided home back <eos>
<pad> feeling day hospital back left <eos>
<pad> dance dancing class day performance <eos>
<pad> ring day pockets told found <eos>
<pad> smoked day found cigarettes home <eos>
<pad> wanted fridge decided tasted i <eos>
<pad> day wanted decided home back <eos>
<pad> house asked decided number home <eos>
<pad> dog day shelter sad home <eos>
<pad> mall shop shopping stores home <eos>
<pad> dentist brushed cavities tooth teeth <eos>
<pad> day wanted doctor home life <eos>
<pad> wanted day hospital doctor team <eos>
<pad> store wanted bought decided home <eos>
<pad> father day dad home happy <eos>
<pad> wanted day decided started home <eos>
<pad> sean suddenly day put back <eos>
<pad> gun day target time home <eos>
<pad> bathroom day turtle decided home <eos>
<pad> cup sip spilled burned drank <eos>
<pad> cup punch poured water <eos> drank
<pad> wanted day decided home back <eos>
<pad> wanted day decided home back <eos>
<pad> wanted decided day put home <eos>
<pad> wanted day dive decided diving <eos>
<pad> day wanted decided home back <eos>
<pad> play friends day made ended <eos>
<pad> job day started work love <eos>
<pad> car engine broke fix hood <eos>
<pad> casino wanted day decided home <eos>
<pad> read book write bookstore reading <eos>
<pad> work day decided leave home <eos>
<pad> wanted day decided time life <eos>
<pad> dog day find shelter home <eos>
<pad> tree reach day yard damage <eos>
<pad> laptop needed bought buy loved <eos>
<pad> car drive found loan home <eos>
<pad> nervous day excited school home <eos>
<pad> bike rode day decided home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> job applied interview work fired <eos>
<pad> wash dishes clean washed washing <eos>
<pad> business day started decided work <eos>
<pad> day decided work put home <eos>
<pad> tom wanted day buy back <eos>
<pad> doctor painful day hurt back <eos>
<pad> work couch remote time back <eos>
<pad> wanted day decided game proud <eos>
<pad> cat day cats kitty home <eos>
<pad> tree reach cut day damage <eos>
<pad> reading read book bookstore library <eos>
<pad> breakfast bowl cereal day back <eos>
<pad> movie movies decided eventually happy <eos>
<pad> day wanted decided home back <eos>
<pad> week surgery doctor work hospital <eos>
<pad> soup restaurant bowl decided step <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day lot found happy <eos>
<pad> cat cats kittens day glad <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided thought home <eos>
<pad> day wanted decided home back <eos>
<pad> park play day lot home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> dinner salad day eggs home <eos>
<pad> date dinner asked agreed resolved <eos>
<pad> snowman snow build window hat <eos>
<pad> wanted day decided frog home <eos>
<pad> car money drive price found <eos>
<pad> day tape found back proud <eos>
<pad> job day decided asked home <eos>
<pad> dance dancing danced good time <eos>
<pad> car money lot found home <eos>
<pad> day decided stop home time <eos>
<pad> customer store order work left <eos>
<pad> star day decided night talent <eos>
<pad> apple store apples decided i <eos>
<pad> family wanted presents put year <eos>
<pad> rug needed finally store it <eos>
<pad> restaurant menu food decided home <eos>
<pad> coupons coupon expired manager home <eos>
<pad> day wanted decided home back <eos>
<pad> day doctor back hospital proud <eos>
<pad> stuck wanted decided eventually home <eos>
<pad> wanted day decided back home <eos>
<pad> day wanted decided thought home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted decided day home left <eos>
<pad> play win game team won <eos>
<pad> dave day lots lot trip <eos>
<pad> day wanted decided home back <eos>
<pad> trip day lot finally home <eos>
<pad> week day decided work back <eos>
<pad> day wanted lot mom happy <eos>
<pad> day wanted decided home back <eos>
<pad> car mechanic day police proud <eos>
<pad> mall car wallet lost home <eos>
<pad> day wanted decided home back <eos>
<pad> dinner day ate pizza delicious <eos>
<pad> day wanted lot finally rest <eos>
<pad> week nervous day room home <eos>
<pad> day wanted decided thought home <eos>
<pad> day wanted decided thought home <eos>
<pad> car day ran home left <eos>
<pad> keys house car locked find <eos>
<pad> diaper day decided told home <eos>
<pad> wanted fit day decided <eos> something
<pad> ride friends hill back scared <eos>
<pad> halloween costume day time home <eos>
<pad> day thought back eventually home <eos>
<pad> school day friends teacher year <eos>
<pad> car suddenly storm damage home <eos>
<pad> friends day decided friend home <eos>
<pad> chair day decided put home <eos>
<pad> chips hungry decided food tasted <eos>
<pad> dinner food fish ate home <eos>
<pad> pregnant baby day hospital names <eos>
<pad> cup sip drink coffee time <eos>
<pad> job day decided put man <eos>
<pad> milk fridge bowl poured cereal <eos>
<pad> wanted day decided eventually proud <eos>
<pad> lamp noticed day put home <eos>
<pad> job day back finally left <eos>
<pad> puppy parents day finally happy <eos>
<pad> game decided day lot happy <eos>
<pad> movie wanted snacks decided movies <eos>
<pad> tom day started time home <eos>
<pad> race day faster ran won <eos>
<pad> wanted day started addition back <eos>
<pad> james day suddenly found home <eos>
<pad> house store found ran home <eos>
<pad> gina day decided back home <eos>
<pad> gun target day found i <eos>
<pad> restaurant service decided asked left <eos>
<pad> show day time performance home <eos>
<pad> trip day lot finally home <eos>
<pad> turkey thanksgiving asked oven home <eos>
<pad> hurricane wanted day lot home <eos>
<pad> cat pet parents loved home <eos>
<pad> day wanted decided thought home <eos>
<pad> job day cop told home <eos>
<pad> job day work boss fired <eos>
<pad> car license drive price home <eos>
<pad> moon day decided back home <eos>
<pad> car day fix breaking happened <eos>
<pad> dinner ingredients food eat home <eos>
<pad> wanted day photo photos found <eos>
<pad> dogs dog day time home <eos>
<pad> paint day exhibit art piece <eos>
<pad> gina day kitchen back home <eos>
<pad> school homework day friends year <eos>
<pad> play day water home glad <eos>
<pad> video day lot made make <eos>
<pad> gina neighbor music door neighbors <eos>
<pad> essay wrote write day paper <eos>
<pad> movie movies decided theater night <eos>
<pad> wanted friends decided day home <eos>
<pad> socks buy day find found <eos>
<pad> throw friends party leave home <eos>
<pad> friends day ran home back <eos>
<pad> wanted decided day thought night <eos>
<pad> wanted day decided home back <eos>
<pad> walk rainy rain rained home <eos>
<pad> spring day watered planted backyard <eos>
<pad> friends day jump hit time <eos>
<pad> doctor flu bed work rest <eos>
<pad> motorcycle ride stop bike hit <eos>
<pad> computer turned day parts virus <eos>
<pad> wanted day decided thought happy <eos>
<pad> surgery day doctor hospital back <eos>
<pad> gina food back home found <eos>
<pad> job nervous day work home <eos>
<pad> nurse day store money back <eos>
<pad> dentist visit teeth tooth cavities <eos>
<pad> wanted day started lot home <eos>
<pad> dog day shelter home run <eos>
<pad> wanted day year decided happy <eos>
<pad> day wanted decided home back <eos>
<pad> girl day decided put began <eos>
<pad> day decided lot found lost <eos>
<pad> wanted day castle lot happy <eos>
<pad> award day nervous won team <eos>
<pad> day wanted decided home back <eos>
<pad> trip day lot finally home <eos>
<pad> dinner ingredients food ate home <eos>
<pad> teacher class students school happy <eos>
<pad> waiting line impatient home wait <eos>
<pad> money started decided give home <eos>
<pad> birthday friends celebrate day cake <eos>
<pad> drink day started morning <eos> never
<pad> day wanted decided home back <eos>
<pad> friends day shirts decided back <eos>
<pad> trash bag day bags <eos> garbage
<pad> day wanted decided home back <eos>
<pad> trip day lot finally home <eos>
<pad> day wanted decided thought home <eos>
<pad> anita camp day scared love <eos>
<pad> toys excited toy finally happy <eos>
<pad> wanted day decided home back <eos>
<pad> work boss office job fired <eos>
<pad> sally day decided sick rest <eos>
<pad> jake wanted decided broke mess <eos>
<pad> day wanted decided home back <eos>
<pad> car day suddenly told home <eos>
<pad> nervous day excited home end <eos>
<pad> car day doctor back home <eos>
<pad> day wanted decided home back <eos>
<pad> phone falls dropped screen happy <eos>
<pad> swim day pool team won <eos>
<pad> wanted day kids work love <eos>
<pad> dog day shelter home run <eos>
<pad> tickets money friends decided won <eos>
<pad> kids day puddle found home <eos>
<pad> wanted day made lot won <eos>
<pad> wanted decided started put home <eos>
<pad> wanted show excited day won <eos>
<pad> bed house day scared sleep <eos>
<pad> job pay day lot work <eos>
<pad> hair haircut decided cut mirror <eos>
<pad> paint painted painting began performance <eos>
<pad> wanted day decided home back <eos>
<pad> james suddenly fell fall knees <eos>
<pad> dog day shelter home run <eos>
<pad> house day started decided home <eos>
<pad> picture asked photo photos left <eos>
<pad> duck ducks day pond home <eos>
<pad> day wanted decided thought home <eos>
<pad> xbox day game night home <eos>
<pad> dinner ingredients dough pizza returned <eos>
<pad> day suddenly decided put home <eos>
<pad> late work time overslept warning <eos>
<pad> thirsty water bottle drank <eos> he
<pad> green day decided put home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> friend day decided friends left <eos>
<pad> tom day water back glad <eos>
<pad> car suddenly day hurt hit <eos>
<pad> tired sleep work hour bed <eos>
<pad> babysit nervous babysitter mother back <eos>
<pad> wanted decided day put delicious <eos>
<pad> day wanted decided home back <eos>
<pad> car day decided put home <eos>
<pad> wanted day decided toy home <eos>
<pad> money decided bills saved paid <eos>
<pad> kittens day friends mom home <eos>
<pad> day wanted decided home back <eos>
<pad> phone parents lost searched answer <eos>
<pad> play day shot arm rest <eos>
<pad> park house spilled clean home <eos>
<pad> fence neighbor yard car <eos> someone
<pad> class school day semester proud <eos>
<pad> fan day decided home proud <eos>
<pad> park umbrella rain day home <eos>
<pad> zoo animals kids monkeys happy <eos>
<pad> hiking trail hike hiked rest <eos>
<pad> work day decided scared love <eos>
<pad> story write wrote day life <eos>
<pad> money ticket win lottery won <eos>
<pad> gift birthday buy gifts box <eos>
<pad> wanted day decided lot back <eos>
<pad> day wanted decided found year <eos>
<pad> store day decided bought home <eos>
<pad> day wanted decided home back <eos>
<pad> dentist appointment tooth teeth home <eos>
<pad> tom day ice home back <eos>
<pad> house family kids day home <eos>
<pad> job day friends decided home <eos>
<pad> pregnant day thought back baby <eos>
<pad> wanted day friends decided left <eos>
<pad> tim decided wrong ended back <eos>
<pad> chicken decided day tasted home <eos>
<pad> wanted decided started put home <eos>
<pad> game ball team games won <eos>
<pad> jack day decided job work <eos>
<pad> email day made decided happy <eos>
<pad> day thought lot doctor home <eos>
<pad> day wanted decided home back <eos>
<pad> nervous studied class test day <eos>
<pad> wanted house day found home <eos>
<pad> tom set morning alarm late <eos>
<pad> dishes wash clean smell washing <eos>
<pad> day needed decided make home <eos>
<pad> dinner store home decided family <eos>
<pad> gina robot decided day spent <eos>
<pad> hill wanted top fell hit <eos>
<pad> friend day fight told time <eos>
<pad> mowing day work decided left <eos>
<pad> rice cooked resolved eat i <eos>
<pad> festival day decided time home <eos>
<pad> park sky umbrella rain soaked <eos>
<pad> dave costume day decided time <eos>
<pad> hair day decided cut home <eos>
<pad> card day money pay back <eos>
<pad> wanted day decided home back <eos>
<pad> beach weather water sand home <eos>
<pad> gina day decided found back <eos>
<pad> sunglasses day sun home back <eos>
<pad> park day lot home happy <eos>
<pad> bathroom toilet decided found time <eos>
<pad> friends lonely day people happy <eos>
<pad> car road day back home <eos>
<pad> phone answer call called answered <eos>
<pad> day wanted decided home back <eos>
<pad> mall missing wallet searched find <eos>
<pad> class teacher failed desk grade <eos>
<pad> day friends decided told home <eos>
<pad> park day started ran rest <eos>
<pad> horses horse day lot home <eos>
<pad> house bedroom built finally home <eos>
<pad> desk day worked found home <eos>
